Timestamp;TimeFormatted;UUID/Namespace;Major/Instance;Minor;TX;RSSI;Distance
1494830584032;2017-05-15 13:43:04;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-92;3.23922441400968
1494830584032;2017-05-15 13:43:04;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-90;3.553384990031865
1494830585259;2017-05-15 13:43:05;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-90;3.4290277186438685
1494830585260;2017-05-15 13:43:05;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-91;3.5304386795178146
1494830586407;2017-05-15 13:43:06;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.447395341535003
1494830586407;2017-05-15 13:43:06;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-90;3.4895133771296765
1494830587591;2017-05-15 13:43:07;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.4290277186438685
1494830587591;2017-05-15 13:43:07;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-96;4.431910396289597
1494830587592;2017-05-15 13:43:07;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-91;3.320901366848042
1494830587592;2017-05-15 13:43:07;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-91;3.463015436839613
1494830588775;2017-05-15 13:43:08;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-92;3.4605764051932733
1494830588775;2017-05-15 13:43:08;cb10023f-a318-3394-4199-a8730c7c1aec;3;18201;-69;-96;4.4726493811568915
1494830588776;2017-05-15 13:43:08;cb10023f-a318-3394-4199-a8730c7c1aec;2;18201;-69;-91;3.4801377011044545
1494830589973;2017-05-15 13:43:09;cb10023f-a318-3394-4199-a8730c7c1aec;1;18201;-69;-91;3.4290277186438685
1494830589973;2017-05-15 13:43:09;cb10023f-a318-3394-4199-a8730c7c1aec;1;18202;-69;-91;3.3925913246359345
